PolicyNumber,Fault,BasePolicy,VehiclePrice,Age,NumberOfSuppliments,AccidentArea,MonthClaimed_cos,Sex,VehicleCategory_Utility,VehicleCategory_Sport,Deductible_700,Deductible_400
1459,1,2,1,0.40625,1,1,-1.8369701987210297e-16,1,0.0,0.0,0.0,1.0
9908,0,1,1,0.828125,0,1,-0.8660254037844387,0,0.0,1.0,0.0,1.0
6534,1,3,1,0.59375,1,1,0.8660254037844384,0,0.0,0.0,0.0,1.0
15137,0,3,2,0.265625,0,1,0.5000000000000001,0,0.0,0.0,0.0,1.0
2206,1,2,1,0.203125,2,0,0.5000000000000001,0,0.0,0.0,0.0,1.0
7745,1,3,1,0.171875,0,1,1.0,0,0.0,0.0,0.0,1.0
4243,1,1,1,0.296875,1,1,-1.8369701987210297e-16,1,0.0,1.0,0.0,1.0
14846,1,2,5,0.1875,0,1,-1.0,0,0.0,0.0,0.0,1.0
7335,1,2,1,0.28125,3,1,6.123233995736766e-17,0,0.0,0.0,0.0,1.0
13466,0,3,1,0.421875,0,0,-0.5000000000000004,0,0.0,0.0,0.0,1.0
9068,1,3,1,0.296875,3,1,6.123233995736766e-17,1,0.0,0.0,0.0,1.0
1564,1,3,2,0.234375,1,1,-1.8369701987210297e-16,0,0.0,0.0,0.0,1.0
4887,1,1,3,0.265625,0,1,-0.4999999999999998,0,0.0,1.0,0.0,1.0
9658,1,1,5,0.59375,0,1,-0.4999999999999998,0,0.0,1.0,0.0,1.0
1580,1,2,5,0.609375,0,0,0.8660254037844384,0,1.0,0.0,0.0,1.0
7913,1,1,0,0.15625,3,1,0.5000000000000001,1,0.0,1.0,0.0,1.0
13434,1,2,1,0.6875,0,1,-0.4999999999999998,0,0.0,0.0,0.0,1.0
5596,1,2,1,0.078125,0,1,0.5000000000000001,0,0.0,0.0,0.0,1.0
499,1,2,0,0.453125,0,1,0.5000000000000001,0,0.0,0.0,0.0,1.0
7586,0,3,1,0.53125,3,1,-1.8369701987210297e-16,0,0.0,0.0,0.0,1.0
13178,1,3,1,0.15625,3,1,-0.5000000000000004,0,0.0,0.0,0.0,1.0
14152,1,2,1,0.15625,0,1,-0.8660254037844388,0,0.0,0.0,0.0,1.0
6061,1,2,2,0.21875,0,0,0.5000000000000001,0,0.0,0.0,0.0,1.0
7113,1,1,2,0.1875,3,1,0.8660254037844387,0,0.0,1.0,0.0,1.0
11371,0,2,1,0.5625,0,1,-0.8660254037844387,0,0.0,0.0,0.0,1.0
10006,1,1,2,0.40625,2,1,0.8660254037844384,0,0.0,1.0,0.0,1.0
14495,0,1,1,0.625,2,1,0.8660254037844387,0,0.0,1.0,0.0,1.0
2918,0,3,1,0.328125,0,0,-0.4999999999999998,0,0.0,0.0,0.0,1.0
10875,1,2,5,0.078125,0,1,6.123233995736766e-17,0,0.0,1.0,0.0,1.0
3164,0,1,1,0.28125,0,1,0.8660254037844384,0,0.0,1.0,0.0,1.0
13033,1,1,1,0.28125,0,1,-0.5000000000000004,0,0.0,1.0,0.0,1.0
14884,1,2,1,0.359375,2,1,-1.8369701987210297e-16,0,0.0,0.0,0.0,1.0
12640,1,2,3,0.15625,1,1,0.5000000000000001,0,0.0,0.0,0.0,1.0
7298,1,2,1,0.265625,1,1,0.5000000000000001,0,0.0,0.0,0.0,1.0
14720,1,3,5,0.1875,1,1,-0.5000000000000004,0,1.0,0.0,0.0,1.0
5162,0,3,1,0.1875,2,1,-0.8660254037844387,0,0.0,0.0,0.0,1.0
1164,1,1,1,0.34375,0,1,6.123233995736766e-17,0,0.0,1.0,0.0,1.0
8475,1,1,2,0.28125,3,1,-0.8660254037844388,0,0.0,1.0,0.0,1.0
9525,1,3,5,0.1875,0,1,0.5000000000000001,0,1.0,0.0,0.0,1.0
11978,1,2,1,0.34375,2,1,-1.0,0,0.0,0.0,0.0,1.0
3810,0,1,4,0.578125,0,1,-0.5000000000000004,0,0.0,1.0,0.0,1.0
9136,1,2,1,0.921875,0,1,6.123233995736766e-17,0,0.0,0.0,0.0,1.0
1552,1,3,5,0.421875,3,1,0.8660254037844384,0,1.0,0.0,0.0,1.0
13474,1,1,2,0.578125,0,1,0.5000000000000001,0,0.0,1.0,0.0,1.0
960,1,1,1,0.4375,0,1,-1.0,1,0.0,1.0,0.0,1.0
5239,1,2,3,0.59375,2,1,-0.4999999999999998,1,0.0,0.0,0.0,1.0
11006,1,1,1,0.171875,0,1,0.8660254037844384,0,0.0,1.0,1.0,0.0
12991,1,1,1,0.1875,1,1,1.0,0,0.0,1.0,0.0,1.0
603,0,3,2,0.46875,1,1,-1.0,0,0.0,0.0,0.0,1.0
12403,1,2,0,0.40625,2,1,-1.0,0,0.0,0.0,0.0,1.0
14757,1,3,1,0.421875,3,1,1.0,1,0.0,0.0,1.0,0.0
12892,0,3,0,0.046875,3,1,0.8660254037844384,0,0.0,0.0,0.0,1.0
14175,1,3,1,0.859375,3,1,6.123233995736766e-17,0,0.0,0.0,0.0,1.0
7910,0,2,1,0.0625,0,1,-0.8660254037844387,0,0.0,0.0,0.0,1.0
10053,0,2,1,0.265625,0,1,-0.8660254037844387,0,0.0,0.0,0.0,1.0
9052,1,1,1,0.484375,0,1,-0.8660254037844388,0,0.0,1.0,0.0,1.0
13735,1,1,2,0.375,3,1,0.8660254037844387,0,0.0,1.0,0.0,1.0
374,0,1,1,0.328125,2,1,-0.8660254037844387,0,0.0,1.0,0.0,1.0
14188,0,2,2,0.25,0,1,-0.8660254037844388,0,0.0,0.0,0.0,1.0
1561,0,2,5,0.4375,0,1,1.0,0,0.0,0.0,0.0,1.0
12445,1,1,1,0.546875,3,0,-0.8660254037844388,0,0.0,1.0,0.0,0.0
11334,0,3,1,0.125,3,1,1.0,0,0.0,0.0,0.0,1.0
180,0,3,1,0.578125,0,0,0.8660254037844387,0,0.0,0.0,0.0,1.0
2958,1,3,1,0.390625,0,1,1.0,0,0.0,0.0,0.0,1.0
8482,1,2,1,0.375,1,1,-1.0,0,0.0,0.0,0.0,1.0
6310,0,3,5,0.34375,2,1,-0.8660254037844388,0,0.0,0.0,0.0,1.0
10978,1,2,2,0.25,3,1,6.123233995736766e-17,1,0.0,0.0,0.0,1.0
13395,0,3,1,0.71875,3,1,-1.0,0,0.0,0.0,0.0,1.0
7405,1,1,1,0.40625,1,1,-0.8660254037844387,0,0.0,1.0,0.0,1.0
8499,1,1,5,0.171875,3,1,0.5000000000000001,1,0.0,1.0,0.0,1.0
5996,1,3,1,0.484375,0,1,1.0,0,0.0,0.0,0.0,1.0
4882,1,2,1,0.359375,3,1,-1.8369701987210297e-16,0,0.0,0.0,0.0,1.0
14737,0,2,1,0.109375,3,1,-1.8369701987210297e-16,0,0.0,0.0,0.0,1.0
4044,1,3,0,0.421875,2,1,0.8660254037844384,0,0.0,0.0,0.0,1.0
5977,1,1,2,0.21875,0,1,6.123233995736766e-17,0,0.0,1.0,0.0,1.0
6056,1,1,5,0.71875,3,1,0.8660254037844384,0,0.0,1.0,0.0,1.0
14062,1,1,3,0.578125,1,1,-0.8660254037844388,0,0.0,1.0,0.0,1.0
581,0,1,1,0.765625,0,1,-1.0,0,0.0,1.0,0.0,1.0
1644,0,2,1,0.421875,3,1,-1.8369701987210297e-16,0,0.0,0.0,1.0,0.0
3134,1,2,5,0.21875,0,1,-0.8660254037844388,0,0.0,0.0,0.0,1.0
11126,1,2,5,0.34375,0,0,-0.4999999999999998,0,0.0,0.0,0.0,1.0
10003,1,3,2,0.171875,1,1,0.8660254037844387,0,0.0,0.0,0.0,1.0
1540,1,1,1,0.140625,1,1,-0.8660254037844387,0,0.0,1.0,0.0,1.0
2699,0,2,5,0.84375,0,1,-0.8660254037844387,0,0.0,1.0,0.0,1.0
13696,1,3,2,0.296875,0,1,0.5000000000000001,0,0.0,0.0,0.0,1.0
10922,1,1,1,0.296875,3,0,0.8660254037844384,0,0.0,1.0,0.0,1.0
4240,1,1,2,0.453125,3,0,0.8660254037844387,0,0.0,1.0,0.0,1.0
7314,1,3,1,0.546875,3,1,0.8660254037844384,0,0.0,0.0,0.0,1.0
3280,0,1,1,0.59375,3,1,-0.8660254037844387,1,0.0,1.0,0.0,1.0
7962,1,2,2,0.21875,0,1,1.0,0,0.0,0.0,0.0,1.0
13573,1,1,2,0.375,3,0,-0.5000000000000004,0,0.0,1.0,0.0,1.0
14045,1,2,2,0.234375,2,1,-0.8660254037844388,0,0.0,0.0,0.0,1.0
7202,0,3,1,0.234375,1,1,-1.0,0,0.0,0.0,0.0,1.0
246,0,2,5,0.34375,0,1,0.8660254037844387,0,0.0,0.0,0.0,1.0
7094,1,1,5,0.59375,0,1,0.5000000000000001,0,0.0,1.0,0.0,1.0
1291,1,1,1,0.515625,0,1,6.123233995736766e-17,0,0.0,1.0,0.0,1.0
5287,0,3,5,0.234375,0,1,6.123233995736766e-17,0,0.0,0.0,0.0,1.0
7757,0,3,1,0.703125,3,1,-0.5000000000000004,0,0.0,0.0,0.0,1.0
9160,0,1,2,0.15625,0,1,-0.8660254037844387,0,0.0,1.0,0.0,1.0
10238,0,3,1,0.328125,0,1,0.5000000000000001,0,0.0,0.0,0.0,1.0
3386,0,2,5,0.09375,0,1,-1.8369701987210297e-16,0,0.0,1.0,0.0,1.0
14404,1,1,1,0.421875,0,1,0.5000000000000001,0,0.0,1.0,0.0,1.0
15097,0,1,2,0.765625,3,1,0.8660254037844384,0,0.0,1.0,0.0,0.0
548,1,3,0,0.15625,2,1,6.123233995736766e-17,0,0.0,0.0,0.0,1.0
315,0,1,1,0.453125,0,0,-0.4999999999999998,1,0.0,1.0,0.0,1.0
11251,1,3,1,0.734375,3,0,0.8660254037844384,0,0.0,0.0,0.0,1.0
7231,1,2,5,0.1875,3,1,-1.0,0,0.0,0.0,0.0,1.0
6248,1,1,2,0.25,0,1,-1.0,0,0.0,1.0,0.0,1.0
2230,1,3,0,0.328125,1,1,6.123233995736766e-17,1,0.0,0.0,0.0,1.0
14781,1,3,1,0.609375,1,1,-0.8660254037844387,0,0.0,0.0,0.0,1.0
2253,0,3,1,0.21875,0,1,-0.4999999999999998,0,0.0,0.0,0.0,1.0
4149,1,2,1,0.5625,0,1,-1.0,0,0.0,0.0,0.0,1.0
10435,1,1,1,0.15625,3,1,0.5000000000000001,1,0.0,1.0,0.0,1.0
340,1,3,0,0.625,1,1,6.123233995736766e-17,0,0.0,0.0,0.0,1.0
11295,0,3,1,0.09375,0,1,-1.0,0,0.0,0.0,0.0,1.0
9913,1,1,1,0.421875,3,1,-1.8369701987210297e-16,0,0.0,1.0,0.0,1.0
11874,1,1,2,0.3125,1,1,0.5000000000000001,0,0.0,1.0,1.0,0.0
13294,0,2,1,0.1875,0,0,0.8660254037844387,1,0.0,0.0,0.0,1.0
7917,0,3,0,0.4375,2,1,-0.5000000000000004,0,0.0,0.0,0.0,1.0
4961,0,3,0,0.25,1,1,-1.0,0,0.0,0.0,0.0,1.0
6162,1,3,0,0.734375,0,1,-0.4999999999999998,0,0.0,0.0,0.0,1.0
1155,1,3,0,0.109375,0,1,-0.8660254037844388,0,0.0,0.0,0.0,1.0
8861,1,1,1,0.46875,3,1,1.0,0,0.0,1.0,0.0,1.0
14487,1,1,1,0.15625,0,1,-0.5000000000000004,0,0.0,1.0,0.0,1.0
1526,0,3,1,0.546875,3,1,-1.8369701987210297e-16,0,0.0,0.0,0.0,1.0
14374,1,1,1,0.171875,0,1,-1.8369701987210297e-16,1,0.0,1.0,0.0,1.0
10954,1,3,1,0.234375,0,0,0.8660254037844384,0,0.0,0.0,0.0,1.0
1962,1,1,1,0.203125,0,0,0.8660254037844387,0,0.0,1.0,0.0,1.0
10984,1,3,0,0.046875,0,1,-1.0,0,0.0,0.0,0.0,1.0
10581,0,2,2,0.40625,2,1,0.8660254037844384,0,0.0,0.0,0.0,1.0
12864,1,2,2,0.265625,0,1,-1.0,0,0.0,0.0,0.0,1.0
14714,1,3,0,0.15625,3,0,-1.8369701987210297e-16,0,0.0,0.0,0.0,1.0
6109,1,3,2,0.515625,3,1,-1.0,0,0.0,1.0,0.0,1.0
4601,1,1,1,0.40625,0,1,0.8660254037844384,0,0.0,1.0,0.0,1.0
11879,1,1,5,0.34375,0,1,-1.0,0,0.0,1.0,0.0,1.0
14611,1,3,1,0.21875,2,1,-0.8660254037844388,0,0.0,0.0,0.0,1.0
774,1,1,1,0.703125,0,1,6.123233995736766e-17,0,0.0,1.0,0.0,1.0
12447,0,3,0,0.40625,2,1,-0.5000000000000004,0,0.0,0.0,0.0,1.0
13127,0,3,0,0.53125,3,1,-0.8660254037844388,0,0.0,0.0,0.0,1.0
9833,1,1,2,0.171875,2,1,-0.5000000000000004,0,0.0,1.0,0.0,1.0
9641,1,2,4,0.578125,0,0,0.5000000000000001,0,0.0,0.0,0.0,1.0
14818,0,1,1,0.515625,0,0,-1.8369701987210297e-16,0,0.0,1.0,0.0,1.0
9325,1,1,1,0.203125,0,1,-0.5000000000000004,1,0.0,1.0,0.0,1.0
2887,1,1,1,0.5625,0,1,-1.8369701987210297e-16,1,0.0,1.0,0.0,1.0
589,0,2,1,0.296875,1,1,-1.0,0,0.0,0.0,0.0,1.0
8753,0,2,1,0.15625,1,1,0.8660254037844387,0,0.0,0.0,0.0,1.0
4142,1,1,2,0.359375,3,1,0.5000000000000001,0,0.0,1.0,0.0,1.0
3754,1,3,5,0.390625,0,1,0.8660254037844384,0,0.0,0.0,0.0,1.0
10635,0,1,1,0.15625,2,1,0.5000000000000001,0,0.0,1.0,0.0,1.0
14512,1,1,1,0.390625,0,1,0.8660254037844384,0,0.0,1.0,0.0,1.0
5809,1,1,2,0.171875,0,1,0.8660254037844384,0,0.0,1.0,0.0,1.0
15164,0,2,1,0.109375,2,1,-0.4999999999999998,1,0.0,0.0,0.0,1.0
634,1,1,2,0.203125,2,1,0.8660254037844384,0,0.0,1.0,0.0,1.0
1688,1,1,1,0.515625,0,1,0.5000000000000001,1,0.0,1.0,0.0,1.0
9602,1,2,1,0.6875,3,1,1.0,0,0.0,0.0,0.0,1.0
10083,0,1,1,0.28125,1,1,0.5000000000000001,0,0.0,1.0,0.0,1.0
482,1,2,3,0.546875,0,1,0.5000000000000001,1,0.0,0.0,0.0,1.0
15296,1,1,2,0.59375,3,1,-1.8369701987210297e-16,0,0.0,1.0,0.0,1.0
6212,0,3,0,0.21875,0,1,-0.4999999999999998,0,0.0,0.0,0.0,1.0
1015,1,1,1,0.625,0,1,1.0,0,0.0,1.0,0.0,1.0
8718,1,1,5,0.4375,0,1,0.8660254037844387,0,0.0,1.0,0.0,1.0
641,0,1,1,0.9375,0,1,-0.8660254037844388,0,0.0,1.0,0.0,1.0
11152,1,2,1,0.6875,0,0,0.8660254037844384,0,0.0,0.0,0.0,1.0
7549,1,2,0,0.53125,2,1,-0.8660254037844388,1,0.0,0.0,0.0,0.0
5964,1,2,1,0.484375,0,1,-0.8660254037844388,0,0.0,0.0,0.0,1.0
3345,0,1,1,0.4375,0,1,-0.5000000000000004,0,0.0,1.0,0.0,1.0
14209,0,3,1,0.78125,0,1,-1.8369701987210297e-16,0,0.0,0.0,0.0,1.0
14805,1,1,2,0.359375,0,1,1.0,0,0.0,1.0,0.0,1.0
8452,0,2,2,0.265625,1,1,0.8660254037844387,0,0.0,0.0,0.0,1.0
14747,1,3,3,0.171875,2,1,1.0,0,0.0,0.0,0.0,1.0
4513,1,1,2,0.4375,3,1,0.5000000000000001,0,0.0,1.0,0.0,1.0
9799,1,1,2,0.28125,0,1,0.8660254037844387,1,0.0,1.0,0.0,1.0
10869,0,3,1,0.5,0,1,-1.8369701987210297e-16,0,0.0,0.0,0.0,1.0
4880,0,3,0,0.515625,0,1,0.5000000000000001,0,0.0,0.0,0.0,1.0
15242,0,2,1,0.25,2,0,-1.0,0,0.0,0.0,0.0,1.0
5044,1,1,3,0.453125,3,1,-1.0,1,0.0,1.0,0.0,1.0
2533,1,1,1,0.234375,0,1,0.5000000000000001,0,0.0,1.0,0.0,1.0
271,1,1,1,0.265625,2,1,0.8660254037844387,1,0.0,1.0,0.0,1.0
7908,1,3,1,0.484375,0,1,-0.8660254037844388,0,0.0,0.0,0.0,1.0
11065,0,2,2,0.359375,0,1,-0.8660254037844387,0,0.0,0.0,0.0,1.0
12684,1,3,1,0.578125,3,0,-0.8660254037844387,0,0.0,0.0,0.0,1.0
8891,0,2,2,0.46875,0,1,-0.8660254037844387,0,0.0,0.0,0.0,1.0
6560,0,2,1,0.609375,2,1,0.8660254037844387,0,0.0,0.0,0.0,1.0
13508,0,2,1,0.59375,0,1,-0.8660254037844388,0,0.0,0.0,0.0,1.0
14938,1,3,5,0.359375,0,1,-0.4999999999999998,0,0.0,0.0,0.0,1.0
13373,0,2,1,0.484375,2,0,-0.8660254037844388,0,0.0,0.0,0.0,1.0
10330,1,2,1,0.75,1,1,-0.4999999999999998,0,0.0,0.0,0.0,1.0
6593,1,3,5,0.5625,2,1,0.8660254037844384,0,0.0,0.0,0.0,1.0
8969,1,2,1,0.390625,0,0,-0.4999999999999998,1,0.0,0.0,0.0,1.0
15341,0,3,5,0.625,3,1,-0.5000000000000004,0,0.0,0.0,0.0,1.0
13939,1,3,3,0.8125,3,1,0.5000000000000001,0,1.0,0.0,0.0,1.0
9826,1,1,1,0.234375,0,1,-1.8369701987210297e-16,0,0.0,1.0,0.0,1.0
10575,0,3,1,0.40625,0,1,6.123233995736766e-17,0,0.0,0.0,0.0,1.0
11148,0,2,2,0.546875,3,1,-0.5000000000000004,0,0.0,0.0,0.0,1.0
368,0,2,1,0.484375,1,1,-1.0,0,0.0,0.0,0.0,1.0
4636,0,1,3,0.625,2,0,-0.8660254037844387,0,0.0,1.0,0.0,1.0
6766,1,3,5,0.5625,2,1,-1.0,0,0.0,0.0,0.0,1.0
3237,1,2,1,0.265625,1,1,-1.0,0,0.0,0.0,0.0,1.0
2412,1,1,2,0.34375,0,1,6.123233995736766e-17,1,0.0,1.0,0.0,1.0
8194,1,3,5,0.421875,2,1,0.8660254037844387,0,0.0,0.0,0.0,1.0
14117,0,1,2,0.203125,3,1,-0.4999999999999998,0,0.0,1.0,0.0,1.0
7078,0,3,1,0.1875,3,0,6.123233995736766e-17,0,0.0,0.0,0.0,1.0
1,1,1,5,0.078125,0,1,0.8660254037844387,1,0.0,1.0,0.0,0.0
5298,1,1,1,0.546875,2,1,0.5000000000000001,0,0.0,1.0,0.0,1.0
4427,1,1,2,0.75,2,1,-1.0,0,0.0,1.0,0.0,1.0
588,1,3,2,0.546875,0,1,-0.5000000000000004,0,0.0,0.0,0.0,1.0
11433,1,3,2,0.28125,3,1,-0.8660254037844387,0,0.0,0.0,0.0,1.0
6841,1,2,2,0.1875,0,1,6.123233995736766e-17,0,0.0,0.0,0.0,1.0
11236,1,1,5,0.34375,0,1,-0.4999999999999998,0,0.0,1.0,0.0,1.0
11966,0,2,1,0.578125,0,1,-0.8660254037844387,0,0.0,0.0,0.0,1.0
9322,0,2,5,0.4375,2,1,-0.8660254037844388,0,0.0,0.0,0.0,1.0
12967,1,1,2,0.421875,0,1,-1.8369701987210297e-16,0,0.0,1.0,0.0,1.0
8835,1,3,2,0.3125,0,1,0.5000000000000001,1,0.0,0.0,0.0,1.0
9655,0,3,0,0.953125,2,1,0.8660254037844384,0,0.0,0.0,0.0,1.0
7093,0,3,1,0.296875,1,0,0.5000000000000001,0,0.0,0.0,0.0,1.0
10379,0,2,1,0.15625,0,1,0.8660254037844387,0,0.0,0.0,0.0,1.0
6533,1,1,2,0.5,0,1,0.8660254037844384,0,0.0,1.0,0.0,1.0
3623,1,3,1,0.53125,0,0,6.123233995736766e-17,0,0.0,0.0,0.0,1.0
14164,0,1,1,0.40625,2,1,-0.4999999999999998,1,0.0,1.0,0.0,1.0
12263,1,1,3,0.21875,2,1,0.8660254037844384,0,0.0,1.0,0.0,1.0
8739,1,2,5,0.671875,3,1,0.8660254037844387,0,0.0,0.0,0.0,1.0
14511,1,3,5,0.328125,3,1,-0.5000000000000004,0,1.0,0.0,0.0,1.0
5557,1,2,5,0.328125,3,1,-1.8369701987210297e-16,0,0.0,0.0,0.0,1.0
5052,1,1,5,0.625,2,1,0.5000000000000001,0,0.0,1.0,0.0,1.0
5793,1,1,1,0.40625,0,1,-0.8660254037844387,0,0.0,1.0,0.0,1.0
4388,1,3,1,0.203125,0,1,-0.8660254037844387,1,0.0,0.0,0.0,1.0
3340,1,2,1,0.28125,3,1,0.8660254037844384,0,0.0,0.0,0.0,1.0
6591,1,1,1,0.5,2,0,0.5000000000000001,0,0.0,1.0,0.0,1.0
12879,0,3,2,0.546875,3,1,0.5000000000000001,0,0.0,0.0,0.0,1.0
4623,1,2,4,0.609375,0,0,-0.5000000000000004,0,0.0,0.0,0.0,1.0
1957,1,3,5,0.359375,0,1,0.8660254037844387,0,1.0,0.0,0.0,1.0
8996,1,2,2,0.34375,3,1,-0.8660254037844388,1,0.0,0.0,0.0,1.0
1625,1,2,1,0.1875,0,0,-0.4999999999999998,0,0.0,0.0,0.0,1.0
3095,1,3,1,0.328125,1,1,-0.8660254037844387,0,0.0,0.0,0.0,1.0
8556,0,1,1,0.375,0,1,0.8660254037844387,1,0.0,1.0,0.0,1.0
2179,0,2,1,0.390625,1,0,6.123233995736766e-17,0,0.0,0.0,0.0,1.0
8387,0,1,1,0.25,0,1,-0.8660254037844387,0,0.0,1.0,0.0,1.0
5612,1,2,1,0.296875,2,1,0.8660254037844384,0,0.0,0.0,0.0,1.0
5871,1,2,1,0.1875,0,1,-1.8369701987210297e-16,0,0.0,0.0,0.0,1.0
5492,0,2,1,0.703125,3,1,-0.8660254037844388,0,0.0,0.0,0.0,1.0
12962,0,2,1,0.46875,2,1,0.5000000000000001,1,0.0,0.0,0.0,1.0
7997,1,3,2,0.765625,0,1,0.8660254037844384,0,0.0,0.0,0.0,1.0
939,1,2,1,0.359375,0,1,-0.5000000000000004,1,0.0,0.0,0.0,1.0
11094,0,2,2,0.265625,3,0,1.0,0,0.0,0.0,0.0,1.0
7720,0,3,1,0.234375,0,1,-0.5000000000000004,0,0.0,0.0,1.0,0.0
13108,1,1,1,0.359375,1,1,-1.0,1,0.0,1.0,0.0,0.0
11992,1,1,5,0.28125,2,1,0.5000000000000001,0,0.0,1.0,0.0,1.0
18,0,2,1,0.1875,1,1,-0.5000000000000004,1,0.0,0.0,0.0,1.0
1894,1,2,1,0.609375,3,0,0.5000000000000001,1,0.0,0.0,0.0,1.0
7092,1,2,2,0.3125,3,1,0.5000000000000001,0,0.0,0.0,0.0,1.0
14677,1,1,1,0.734375,0,1,-1.8369701987210297e-16,1,0.0,1.0,0.0,1.0
4823,0,2,5,0.078125,0,1,-0.8660254037844388,0,0.0,0.0,0.0,1.0
8173,0,3,1,0.34375,1,0,1.0,0,0.0,0.0,0.0,1.0
13387,1,2,2,0.296875,0,0,0.8660254037844384,0,0.0,0.0,0.0,1.0
13668,1,1,1,0.390625,0,1,0.5000000000000001,0,0.0,1.0,0.0,1.0
8686,0,2,1,0.28125,0,1,0.8660254037844387,0,0.0,0.0,0.0,1.0
9666,1,1,2,0.4375,3,1,0.5000000000000001,0,0.0,1.0,0.0,1.0
5330,1,2,1,0.3125,0,1,0.8660254037844387,0,0.0,0.0,0.0,1.0
6349,1,2,1,0.484375,3,1,1.0,0,0.0,0.0,0.0,1.0
10321,1,2,1,0.59375,2,1,-1.0,1,0.0,0.0,0.0,1.0
12090,1,3,1,0.375,1,1,0.5000000000000001,0,0.0,0.0,0.0,1.0
11708,1,2,1,0.625,0,1,-0.8660254037844388,0,0.0,0.0,0.0,1.0
1037,0,2,1,0.5,1,1,6.123233995736766e-17,0,0.0,0.0,0.0,1.0
4091,1,2,2,0.328125,3,1,0.5000000000000001,0,0.0,0.0,0.0,1.0
10167,1,2,2,0.28125,1,1,0.8660254037844384,0,0.0,0.0,0.0,1.0
6990,0,2,1,0.53125,0,1,-1.0,0,0.0,0.0,0.0,1.0
958,0,2,4,0.515625,3,1,-1.0,0,0.0,0.0,0.0,1.0
924,0,2,5,0.453125,0,1,-0.5000000000000004,1,0.0,1.0,0.0,1.0
3792,1,1,2,0.359375,3,0,-0.8660254037844387,0,0.0,1.0,0.0,1.0
5606,1,1,1,0.171875,2,1,-0.4999999999999998,0,0.0,1.0,0.0,1.0
4402,0,3,2,0.421875,0,1,1.0,0,0.0,0.0,0.0,1.0
3848,1,1,2,0.21875,3,0,-0.8660254037844388,0,0.0,1.0,0.0,1.0
4070,1,1,1,0.234375,1,1,-0.4999999999999998,1,0.0,1.0,0.0,1.0
9476,1,2,1,0.5625,1,1,-0.8660254037844387,0,0.0,0.0,0.0,1.0
13794,1,2,5,0.5625,0,1,6.123233995736766e-17,0,0.0,0.0,0.0,1.0
15174,1,1,2,0.59375,3,1,-1.8369701987210297e-16,0,0.0,1.0,0.0,1.0
12963,0,2,5,0.125,3,1,0.5000000000000001,0,0.0,1.0,0.0,1.0
11239,1,1,2,0.71875,3,1,-0.5000000000000004,0,0.0,1.0,0.0,1.0
11208,0,3,0,0.1875,1,0,-0.8660254037844387,0,0.0,0.0,0.0,1.0
14761,1,2,1,0.28125,0,1,-1.0,0,0.0,0.0,0.0,1.0
3774,1,3,2,0.40625,0,1,-0.4999999999999998,0,0.0,0.0,0.0,1.0
3428,1,1,1,0.1875,2,1,0.5000000000000001,1,0.0,1.0,0.0,1.0
1194,1,1,1,0.359375,0,1,-0.5000000000000004,1,0.0,1.0,0.0,1.0
12721,0,2,4,0.234375,3,0,0.5000000000000001,0,0.0,0.0,0.0,1.0
13208,1,2,1,0.40625,0,1,-0.5000000000000004,0,0.0,0.0,0.0,1.0
4175,0,3,1,0.171875,0,1,-1.0,0,0.0,0.0,0.0,1.0
13865,0,3,1,0.953125,1,1,-0.8660254037844388,0,0.0,0.0,0.0,1.0
8126,0,3,1,0.640625,2,1,-1.0,0,0.0,0.0,0.0,1.0
11663,1,1,2,0.34375,0,1,0.5000000000000001,1,0.0,1.0,0.0,1.0
1227,0,2,3,0.71875,0,1,0.5000000000000001,0,0.0,0.0,0.0,1.0
14782,1,2,1,0.53125,1,1,0.5000000000000001,0,0.0,0.0,0.0,1.0
2682,1,3,0,0.40625,3,0,-0.8660254037844388,0,0.0,0.0,0.0,1.0
1206,0,1,1,0.5,0,1,-0.4999999999999998,0,0.0,1.0,0.0,1.0
